,company,year,quarter,IQ_PRIV,IQ_PUB,IQ_TOTAL_REV_NEXT,FORECAST
1122,IQ33471,2016.0,Q4,0,1,293.61908,424.32098
1123,IQ11151394,2015.0,Q1,1,0,49.658,63.86786
1124,IQ10361568,2009.0,Q4,0,1,0.7211829999999964,6.8858933
1125,IQ386045,2011.0,Q4,0,1,2.833906000000013,15.065031
1126,IQ93982,2011.0,Q4,0,1,54.793713,44.438034
1127,IQ138531,2003.0,Q4,0,1,2.6202030000000036,7.3311296
1128,IQ10246536,2010.0,Q4,0,1,3.4170070000000123,13.929213
1129,IQ9283859,2015.0,Q4,0,1,0.6693750000000023,4.636473
1130,IQ4509287,2010.0,Q4,0,1,3.8193860000000086,6.805388
1131,IQ36630929,2013.0,Q4,0,1,0.3804880000000139,4.699446
1132,IQ62120637,2013.0,Q4,0,1,1.3848110000000133,5.594603
1133,IQ22580571,2013.0,Q4,0,1,0.6659579999999892,4.7129655
1134,IQ418375,2010.0,Q4,0,1,26.988,19.685423
1135,IQ24330594,2015.0,Q4,1,0,9.488790999999992,12.099989
1136,IQ725343,2011.0,Q1,1,0,10.052999999999997,11.212217
1137,IQ22563725,2013.0,Q4,0,1,2.82650000000001,5.898726
1138,IQ69465104,2010.0,Q4,1,0,7.566689999999994,10.658674
1139,IQ687140,2009.0,Q4,0,1,8106.905999999999,7899.3667
1140,IQ46847074,2007.0,Q4,1,0,18.82911899999999,16.06648
1141,IQ881495,2009.0,Q4,0,1,581.9872,629.67267
1142,IQ138652,2013.0,Q2,1,0,10.819999999999993,2.31938
1143,IQ100546355,2012.0,Q4,0,1,-8.227000000000004,8.190428
1144,IQ40536554,2017.0,Q4,0,1,11.824428000000012,11.644224
1145,IQ6296436,2017.0,Q4,0,1,44.031227,42.329605
1146,IQ224927927,2013.0,Q4,0,1,9.889499999999998,9.534452
1147,IQ881470,2016.0,Q4,0,1,323.5236,360.03235
1148,IQ129852091,2013.0,Q4,0,1,0.7114919999999927,4.417937
1149,IQ8080920,2016.0,Q4,1,0,771.6086,1058.6029
1150,IQ20356326,2014.0,Q4,0,1,0.41134199999999055,4.931502
1151,IQ319092,2013.0,Q4,0,1,688.8352,724.77344
1152,IQ972190,2010.0,Q4,0,1,4497.6113,4233.873
1153,IQ135647,2016.0,Q4,0,1,25.012490999999997,28.105345
1154,IQ551782005,2017.0,Q4,0,1,3.4675029999999936,5.756972
1155,IQ882647,2009.0,Q4,0,1,4.716151999999994,9.20088
1156,IQ27773888,2011.0,Q3,0,1,28.58284399999998,19.868696
1157,IQ7687614,2009.0,Q4,0,1,25.891098000000014,18.41368
1158,IQ20965827,2014.0,Q4,0,1,4.08801600000001,7.264128
1159,IQ27881517,2010.0,Q4,0,1,197.05417,177.77158
1160,IQ12762127,2013.0,Q4,0,1,1.431164999999993,4.925551
1161,IQ31348,2009.0,Q4,0,1,2404.3442,2600.3645
1162,IQ242432874,2003.0,Q4,1,0,10.503464000000008,8.53491
1163,IQ118990719,2010.0,Q4,0,1,0.0671040000000005,3.847624
1164,IQ9845893,2011.0,Q4,0,1,2.9653350000000103,4.575896
1165,IQ26320074,2012.0,Q4,0,1,22.01183499999999,26.70545
1166,IQ543952,2013.0,Q4,1,0,4.542935,8.400251
1167,IQ6816667,2016.0,Q4,0,1,0.07173900000000799,5.3501725
1168,IQ24330594,2014.0,Q4,1,0,9.625621999999993,11.977964
1169,IQ135579,2013.0,Q4,1,0,256.301,350.54645
1170,IQ133771778,2014.0,Q4,1,0,10.037364999999994,13.584822
1171,IQ20332882,2003.0,Q4,0,1,1.5146719999999902,7.7120347
1172,IQ733955,2011.0,Q1,1,0,17.825277,21.217024
1173,IQ336774,2012.0,Q4,0,1,4131.3804,5222.327
1174,IQ46847074,2017.0,Q4,1,0,38.11926700000001,43.975464
1175,IQ39505400,2011.0,Q4,1,0,32.90445700000001,31.901709
1176,IQ850025,2011.0,Q4,0,1,0.008518000000009351,7.5854173
1177,IQ323452,2015.0,Q4,0,1,3400.7185,3268.1467
1178,IQ38657852,2016.0,Q3,1,0,6.025980000000004,8.672468
1179,IQ773630,2014.0,Q4,1,0,4.6018860000000075,8.480284
1180,IQ8080935,2008.0,Q4,0,1,17.87814499999999,25.304777
1181,IQ36416960,2009.0,Q4,0,1,1.9867209999999886,5.6916947
1182,IQ5521615,2014.0,Q4,1,0,17.255860000000013,15.616087
1183,IQ224927734,2012.0,Q4,1,0,12.158409000000006,12.186827
1184,IQ881538,2015.0,Q4,0,1,8.038999999999987,8.7177105
1185,IQ48965277,2010.0,Q4,0,1,0.48871900000000323,3.3369277
1186,IQ38985168,2016.0,Q4,1,0,71.13149,68.556305
